T: 71493 ID: 6C0, Data: 4A 00 04 01 11 00 00 03 
T: 71493 ID: 30C, Data: D4 FC 3F 00 60 30 00 50 
T: 71493 ID: 6C0, Data: 47 00 04 01 01 00 00 00 
T: 71493 ID: 661, Data: 1E 00 00 00 00 00 00 00 
T: 71493 ID: 31B, Data: 08 0A 00 00 00 00 00 00 
T: 71493 ID: 32A, Data: 6F 0C 00 00 48 02 00 00 
T: 71493 ID: 3C7, Data: 14 00 27 00 00 40 A3 00 
T: 71493 ID: 395, Data: 04 0E 40 02 FE FE 75 2C 
T: 71493 ID: 30C, Data: B0 FD 3F 00 60 30 00 50 
T: 71493 ID: 30B, Data: 50 0C 00 00 08 00 00 00 
T: 71493 ID: 40, Data: AA 0D 00 00 C3 00 00 00 
T: 71493 ID: 32A, Data: 0B 0D 00 00 48 02 00 00 
T: 71493 ID: FD, Data: A5 D6 1F 80 00 00 00 00 
T: 71493 ID: 5CC, Data: 32 97 00 
T: 71493 ID: 101, Data: FF 07 7D 02 82 11 00 00 
T: 71493 ID: 6B4, Data: 02 37 30 37 39 38 37 39 
T: 71493 ID: 5CC, Data: 80 0E 3A 18 FF FF FF FF 
T: 71493 ID: 324, Data: 61 0E 00 00 00 00 00 12 
T: 71493 ID: 647, Data: AE FD FF 7F 00 00 00 51 
T: 71493 ID: 5CC, Data: C0 FF FF FF FF FF FF FF 
T: 71493 ID: 395, Data: 04 0F 40 02 FE FE 75 2C 
T: 71493 ID: 101, Data: 0B 0A 7D 02 82 1B 00 00 
T: 71493 ID: 40, Data: 62 0F 00 00 C3 00 00 00 
T: 71493 ID: 3D5, Data: 07 40 40 04 00 00 00 00 
T: 71493 ID: 5CC, Data: C1 FF FF FF 
T: 71493 ID: 101, Data: 15 0B 7D 02 82 1C 00 00 
T: 71493 ID: 3E9, Data: FE F8 DF FF 00 00 00 00 
T: 71493 ID: 32A, Data: C3 0F 00 00 48 02 00 00 
T: 71493 ID: 661, Data: 10 00 00 00 00 00 00 00 
T: 71493 ID: 30B, Data: 50 0F 00 00 08 00 00 00 
T: 71493 ID: 31E, Data: 5E EF 3F 00 00 00 00 00 
T: 71493 ID: 520, Data: 48 0B 00 0C 00 AA 02 00 
T: 71493 ID: 30C, Data: 3A F0 3F 00 60 30 00 50 
